listener_thread started[16164]
Start spider workers...
[2020-04-05 15:09:42,717]-[Process-3-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-1?source=refinement&numBaths=1&]...
[2020-04-05 15:09:43,883]-[Process-3-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-2?source=refinement&numBaths=1&]
[2020-04-05 15:09:44,255]-[Process-2-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Werribee, VIC 3030/list-2?source=refinement&numBaths=1&]...
[2020-04-05 15:09:44,398]-[Process-2-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Werribee, VIC 3030/list-3?source=refinement&numBaths=1&]
[2020-04-05 15:09:44,640]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Croydon, VIC 3136/list-2?source=refinement&numBaths=1&]...
[2020-04-05 15:09:44,777]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Croydon, VIC 3136/list-3?source=refinement&numBaths=1&]
listener_thread started[3812]
Start spider workers...
[2020-04-05 15:10:24,015]-[Process-1-MainThread-(INFO)SpiderWorker.py:26]:Started process[2656]-location[ringwood]...
[2020-04-05 15:10:24,016]-[Process-1-MainThread-(INFO)Realestate.py:84]:Starting to fetch candidates from [https://suggest.realestate.com.au/consumer-suggest/suggestions?max=7&type=suburb%2Cprecinct%2Cregion%2Cstate%2Cpostcode&src=homepage&query=ringwood]...
[2020-04-05 15:10:24,738]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood, VIC 3134]
[2020-04-05 15:10:24,738]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood East, VIC 3135]
[2020-04-05 15:10:24,738]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood North, VIC 3134]
[2020-04-05 15:10:24,738]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood, QLD 4343]
[2020-04-05 15:10:24,738]-[Process-1-MainThread-(WARNING)Realestate.py:107]:candidate_location[Ringwood, QLD 4343] is not valid
[2020-04-05 15:10:24,739]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood, NSW 2646]
[2020-04-05 15:10:24,739]-[Process-1-MainThread-(WARNING)Realestate.py:107]:candidate_location[Ringwood, NSW 2646] is not valid
[2020-04-05 15:10:24,739]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Springwood, QLD 4127]
[2020-04-05 15:10:24,739]-[Process-1-MainThread-(WARNING)Realestate.py:107]:candidate_location[Springwood, QLD 4127] is not valid
[2020-04-05 15:10:24,739]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Springwood, NSW 2777]
[2020-04-05 15:10:24,739]-[Process-1-MainThread-(WARNING)Realestate.py:107]:candidate_location[Springwood, NSW 2777] is not valid
[2020-04-05 15:10:24,828]-[Process-1-MainThread-(INFO)Realestate.py:79]:Starting to crawl the region[Ringwood, VIC 3134]
[2020-04-05 15:10:24,828]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-1?source=refinement&numBaths=1&]
[2020-04-05 15:10:31,568]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-1?source=refinement&numBaths=1&]...
[2020-04-05 15:10:31,697]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-2?source=refinement&numBaths=1&]
[2020-04-05 15:10:38,528]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-2?source=refinement&numBaths=1&]...
[2020-04-05 15:10:39,667]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-3?source=refinement&numBaths=1&]
[2020-04-05 15:10:50,014]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-3?source=refinement&numBaths=1&]...
[2020-04-05 15:10:50,132]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-4?source=refinement&numBaths=1&]
[2020-04-05 15:10:59,969]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-4?source=refinement&numBaths=1&]...
[2020-04-05 15:11:00,104]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-5?source=refinement&numBaths=1&]
[2020-04-05 15:11:08,039]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-5?source=refinement&numBaths=1&]...
[2020-04-05 15:11:08,184]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-6?source=refinement&numBaths=1&]
